gene	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
ENSG00000223972.5	0	0	0	1	0	0	0	0
ENSG00000227232.5	89	75	195	75	37	82	168	64
ENSG00000278267.1	0	0	1	0	0	0	0	0
ENSG00000243485.4	0	0	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0	0	0
ENSG00000240361.1	0	0	0	0	0	0	0	0
ENSG00000186092.4	0	0	0	0	0	0	0	0
ENSG00000238009.6	37	0	15	25	12	0	1	1
ENSG00000239945.1	0	0	0	0	0	0	0	0
ENSG00000233750.3	0	0	0	0	0	0	0	0
ENSG00000268903.1	13	0	25	24	2	0	0	0
ENSG00000269981.1	0	1	12	43	3	0	2	0
ENSG00000239906.1	0	0	0	6	0	0	0	0
ENSG00000241860.6	25	9	19	23	7	10	1	6
ENSG00000222623.1	0	0	3	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0	0	0
ENSG00000279928.1	0	0	2	0	0	0	0	0
ENSG00000279457.3	106	78	178	155	59	121	217	66
ENSG00000273874.1	0	0	0	0	0	0	0	0
ENSG00000228463.9	1	20	17	11	4	9	30	19
ENSG00000241670.3	0	0	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0	0	1
ENSG00000236743.1	0	0	0	2	0	0	0	0
ENSG00000236601.2	3	0	0	0	0	0	0	0
ENSG00000237094.11	0	12	8	10	7	4	3	2
ENSG00000269732.1	0	0	0	0	0	0	0	0
ENSG00000278566.1	0	0	0	0	0	0	0	0
ENSG00000224813.3	0	0	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0	0	0
ENSG00000278757.1	0	0	14	45	0	0	0	0
ENSG00000230021.8	1	0	4	16	0	3	1	6
ENSG00000235146.2	0	0	0	0	0	0	0	0
ENSG00000225972.1	1	1	0	0	0	0	1	2
ENSG00000225630.1	283	56	191	372	368	165	703	284
ENSG00000237973.1	123	62	71	112	154	79	77	88
ENSG00000278791.1	0	0	0	0	0	0	0	0
ENSG00000229344.1	0	0	0	3	10	4	0	2
ENSG00000240409.1	0	0	0	0	0	0	0	0
ENSG00000248527.1	140	86	365	761	527	181	69	267
ENSG00000198744.5	1	3	2	7	14	1	1	2
ENSG00000268663.1	0	0	0	0	0	0	0	0
ENSG00000273547.1	0	0	0	0	0	0	0	0
ENSG00000283574.1	0	0	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0	0	0
ENSG00000228327.3	106	64	141	187	108	131	143	115
