circRNA	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
chr1_229521592_229542371_rev	0	0	0	0	0	0	0	0
chr1_229525936_229531731_rev	0	7	0	2	2	0	0	0
chr1_229525936_229542371_rev	0	0	0	0	0	0	0	0
chr1_229530199_229531731_rev	0	0	0	0	0	21	0	27
chr1_229530199_229542371_rev	0	0	0	0	3	3	0	2
chr1_229530199_229549434_rev	0	0	0	0	0	0	0	2
chr1_229539456_229542371_rev	0	0	3	0	0	0	0	0
chr1_229542237_229547701_rev	0	0	0	0	0	2	0	0
chr1_94480606_94464775_fwd	0	0	0	0	0	0	0	9
chr1_94491247_94487542_fwd	0	0	4	0	4	0	0	0
chr1_94499614_94498602_fwd	0	6	0	0	0	0	0	12
chr1_94506642_94487542_fwd	0	0	2	0	0	6	0	0
chr1_94506642_94489725_fwd	0	0	0	0	0	0	0	3
chr1_94506642_94498602_fwd	0	0	0	0	0	4	0	4
chr1_94515202_94489725_fwd	0	0	0	0	0	0	0	0
chr1_179109208_179131481_rev	0	0	0	0	0	0	0	0
chr1_179110282_179112398_rev	1	0	0	0	0	0	0	0
chr1_179117332_179118764_rev	0	0	0	0	0	0	0	3
chr1_179118587_179120274_rev	0	0	2	0	0	0	0	0
chr1_179118587_179121867_rev	0	0	1	0	0	0	0	0
chr1_179120190_179121867_rev	0	0	5	2	0	5	6	12
chr1_179120190_179131481_rev	0	0	1	0	0	0	0	0
chr1_179131311_179131481_rev	0	0	5	0	0	0	0	0
chr1_179131311_179133374_rev	0	0	34	2	11	26	3	23
chr1_75734871_75732644_fwd	0	0	4	0	0	0	17	0
chr1_75740110_75732644_fwd	0	0	0	0	0	0	0	0
chr1_75740110_75734791_fwd	0	0	0	0	0	0	0	0
chr1_75745914_75734791_fwd	0	0	0	0	0	4	0	0
chr1_75749559_75739980_fwd	0	0	0	0	0	2	3	0
chr1_75750546_75732644_fwd	0	0	0	6	3	6	6	0
chr1_75750546_75739980_fwd	0	0	2	0	0	6	2	15
chr1_75750546_75745806_fwd	0	0	3	0	3	5	0	0
chr1_226159184_226161689_rev	0	0	0	0	0	0	0	0
chr1_226164789_226166000_rev	0	0	0	0	0	0	0	0
chr1_180397516_180413471_rev	0	0	5	0	0	10	0	0
chr1_180397516_180430262_rev	0	0	0	0	2	0	0	0
chr1_54597415_54592546_fwd	0	0	1	0	0	0	0	0
chr1_54599415_54592546_fwd	0	0	0	0	0	0	5	2
chr1_54599415_54593941_fwd	0	0	0	0	0	0	0	0
chr1_54605209_54597259_fwd	0	0	0	0	0	0	0	0
chr1_54605209_54605076_fwd	0	0	0	0	0	0	0	0
chr1_54608068_54592546_fwd	0	0	0	0	0	0	0	0
chr1_6281102_6294980_rev	0	0	0	3	0	0	0	0
chr1_6318492_6349866_rev	0	0	5	0	0	0	0	0
chr1_147648246_147659775_rev	1	0	0	0	6	17	0	8
chr1_147650143_147659775_rev	0	0	0	0	0	3	0	0
chr1_147658960_147659775_rev	0	0	2	0	0	0	0	0
chr1_154586181_154588258_rev	0	0	2	0	0	0	0	0
chr1_154588551_154597267_rev	0	0	0	0	0	4	0	4
chr1_154596805_154598585_rev	0	0	0	0	0	3	0	0
chr1_226965737_226961377_fwd	0	0	6	0	0	2	0	7
chr1_31732115_31756815_rev	0	0	0	0	0	0	0	0
chr1_31741624_31742217_rev	0	0	0	0	0	3	0	0
chr1_81907230_81836885_fwd	0	0	0	0	0	0	0	0
chr1_81943769_81836885_fwd	0	0	2	0	0	0	0	0
chr1_81956060_81836885_fwd	0	0	0	0	1	2	3	0
chr1_81956060_81942969_fwd	0	0	3	0	0	0	0	0
chr1_81956060_81950189_fwd	0	0	2	0	0	0	0	0
chr1_81971918_81942969_fwd	0	0	0	0	0	0	0	0
chr1_81971918_81950189_fwd	0	0	0	0	0	0	0	0
